Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
SC1_653126	-5.9442E-4	-2.3361E-5	-5.0227E-3	-1.4494E-3	0.00261
SC1_682915	-3.0391E-3	0.00422	0.01008	0.00504	0.00353
SC1_683026	-1.2187E-3	0.00356	0.0064	0.00522	0.00447
SC1_754617	0.008	-4.7188E-3	0.00145	-3.905E-5	-6.6204E-3
SC1_775007	-3.1992E-3	-2.9924E-3	0.00151	-3.3053E-4	-1.4492E-3
SC1_775020	-4.0529E-3	0.00329	0.00158	6.9314E-4	0.00181
SC1_781865	2.709E-4	-6.9196E-3	-2.9776E-3	-1.3011E-3	-1.8401E-3
SC1_782024	-6.724E-3	0.00369	-1.6918E-3	-1.0693E-4	0.00161
SC1_810032	0.00111	0.00125	0.00572	0.00597	0.0036
SC1_810271	0.00119	-1.0512E-3	0.00654	0.00325	0.0014
SC1_826802	0.00163	-5.6969E-3	-1.5054E-3	0.00619	9.5505E-4
SC1_853478	0.00524	-8.4571E-3	-6.2234E-3	-5.0351E-3	0.00853
SC1_853515	0.00377	-8.594E-3	-6.1903E-3	-7.3636E-3	0.01148
SC1_856342	0.00342	-1.5379E-3	-8.8989E-4	0.00196	0.00371
SC1_892295	-8.0433E-4	-9.8398E-4	-3.8526E-3	0.00132	0.002
SC1_894988	-8.4282E-5	-3.508E-3	-6.396E-3	-1.1775E-4	1.9078E-4
SC1_895007	-3.1129E-4	-2.6717E-3	-3.9234E-3	-1.6835E-4	-2.0955E-3
SC1_895154	-2.3731E-3	-3.4821E-3	0.0101	8.0484E-4	-1.7977E-3
SC1_895202	-1.6801E-3	-5.9081E-3	0.01289	7.0245E-4	-2.1158E-3
SC1_992563	1.7823E-4	0.00199	-1.8076E-4	0.00113	0.00169
SC1_994820	-1.4601E-3	0.00291	6.8403E-4	0.00151	9.7984E-4
SC1_994981	0.00132	-1.1943E-3	-2.3356E-3	-1.5009E-3	0.00275
SC1_995010	9.8881E-4	-7.0123E-4	-1.5699E-3	-2.3571E-3	0.00175
SC1_1019546	2.999E-4	0.00469	0.01018	0.00732	0.00166
SC1_1022259	0.00325	-8.3131E-3	0.00184	-5.682E-4	-3.3639E-3
SC1_1023943	-4.6889E-3	0.00167	-1.1362E-2	-1.9765E-3	0.00134
SC1_1023969	-1.0531E-3	0.0013	0.01032	1.3778E-4	-6.2359E-4
SC1_1065806	0.00395	-7.3459E-3	0.00922	0.00475	-1.6286E-3
SC1_1065809	0.00395	-7.3459E-3	0.00922	0.00475	-1.6286E-3
SC1_1123771	0.00609	-4.1818E-3	0.00515	8.1127E-4	-4.2274E-3
SC1_1138441	-2.4764E-3	0.00165	0.00824	-2.6063E-4	0.00417
SC1_1138566	-1.5055E-3	-1.4273E-3	-1.4203E-4	-4.1399E-4	-1.0284E-3
SC1_1138573	-1.5055E-3	-1.4273E-3	-1.4203E-4	-4.1399E-4	-1.0284E-3
SC1_1138591	1.2223E-4	-9.5861E-3	5.3616E-5	2.1777E-4	-2.493E-3
SC1_1138609	-1.5055E-3	-1.4273E-3	-1.4203E-4	-4.1399E-4	-1.0284E-3
SC1_1154178	0.00146	-6.4335E-3	2.3789E-4	-1.3799E-3	1.0466E-4
SC1_1154188	-1.3964E-3	0.00347	0.00821	0.00531	4.4281E-4
SC1_1154207	0.00146	-6.4335E-3	2.3789E-4	-1.3799E-3	1.0466E-4
SC1_1154321	0.00193	-7.9122E-3	6.3908E-4	-2.0566E-3	-7.8228E-4
SC1_1154354	0.00441	-5.1859E-3	2.4072E-4	0.00108	9.0563E-5
SC1_1183914	0.00447	-1.2749E-3	6.9582E-4	-1.4483E-3	-2.6181E-3
SC1_1183919	0.00125	0.00129	-1.0165E-3	-1.586E-3	0.00502
SC1_1185766	0.00133	-2.7111E-3	-1.6647E-3	-3.7263E-3	-8.4415E-4
SC1_1185785	0.00177	-7.0265E-3	-2.4435E-4	-1.1198E-3	-1.5124E-3
SC1_1185846	0.00397	-7.7E-3	0.00215	-9.9283E-4	-4.4923E-3
SC1_1185850	0.00216	0.004	-5.455E-3	-6.3377E-4	-5.6337E-3
SC1_1185862	0.00409	-6.8076E-3	0.00223	-2.0525E-3	-4.1326E-3
SC1_1190435	0.0024	-5.6426E-3	-3.5587E-4	5.8315E-4	-2.9988E-3
SC1_1207040	0.00768	0.00607	-1.1137E-3	0.00163	-3.1256E-3
SC1_1224705	0.00274	-7.6274E-3	5.2643E-4	1.2207E-4	-3.9922E-3
SC1_1228405	0.00215	-9.5179E-3	1.9863E-4	-2.4453E-3	-4.3217E-3
SC1_1228594	0.00373	0.00275	3.102E-4	-1.0543E-2	1.1015E-4
SC1_1241720	0.00271	-3.6031E-3	0.00119	-2.0927E-3	0.00224
SC1_1241721	0.00763	-4.6369E-3	-2.3143E-3	0.01076	-1.5906E-3
SC1_1241731	-9.3793E-3	0.00845	-1.6904E-3	-8.1489E-3	0.002
SC1_1241741	0.00228	-8.1066E-3	-2.7801E-3	-2.3295E-3	-2.4971E-3
SC1_1241777	0.00263	-1.0167E-2	-3.0201E-3	-3.053E-3	-2.9548E-3
SC1_1241797	-4.0495E-3	-3.9043E-3	-2.4511E-3	-7.3265E-3	-3.6176E-3
SC1_1241799	7.8394E-4	-8.2543E-3	5.7486E-4	-2.9835E-3	-4.5983E-3
SC1_1242241	-6.1615E-3	0.0071	-3.8509E-3	-9.386E-3	8.8177E-4
SC1_1242268	-6.1615E-3	0.0071	-3.8509E-3	-9.386E-3	8.8177E-4
SC1_1242422	0.00109	-6.8713E-3	1.4672E-4	-1.1116E-2	-1.7069E-3
SC1_1242445	0.00162	4.5211E-4	-2.3417E-3	-2.3911E-4	0.00228
SC1_1242511	0.00183	-9.6594E-3	-1.4899E-3	-2.192E-3	-1.2375E-4
SC1_1264234	0.00481	0.00116	2.8867E-4	0.00649	0.00226
SC1_1284159	-7.5133E-3	0.00816	0.00563	-9.1829E-3	0.00415
SC1_1304776	0.00478	0.00308	0.00199	0.00915	-3.0419E-3
SC1_1324660	-9.4966E-3	0.00742	0.00385	6.1752E-4	0.0033
SC1_1336372	0.00548	7.6354E-4	0.00158	0.0049	-1.0201E-3
SC1_1369856	-1.3377E-2	0.00795	0.00142	7.0081E-4	0.0014
SC1_1369909	0.00527	-2.6852E-3	0.00149	0.00568	-1.3994E-3
SC1_1369928	-1.1858E-2	0.00859	0.0022	-7.7005E-4	-1.3854E-3
SC1_1370060	0.01055	-4.7262E-3	-3.3623E-3	-4.1839E-3	0.00135
SC1_1370093	0.00214	0.00483	-4.1182E-3	-3.8362E-3	2.3885E-4
SC1_1377935	0.00334	-1.0801E-2	0.00132	-4.1023E-4	-2.6076E-4
SC1_1377953	0.00334	-1.0801E-2	0.00132	-4.1023E-4	-2.6076E-4
SC1_1377998	0.00313	-1.0251E-2	4.7677E-4	-2.191E-3	7.767E-4
SC1_1378051	0.00321	-1.029E-2	4.2498E-4	-2.353E-3	0.00109
SC1_1378115	0.00162	-1.056E-2	5.6502E-4	-2.7401E-3	-6.1911E-4
SC1_1378127	0.00162	-1.056E-2	5.6502E-4	-2.7401E-3	-6.1911E-4
SC1_1378129	0.00161	-1.0649E-2	7.0241E-4	-2.6004E-3	-7.9135E-4
SC1_1378138	0.00481	-7.1426E-3	-2.3518E-3	6.4071E-4	0.00204
SC1_1378172	0.0025	-9.778E-3	4.6926E-4	-1.9718E-3	8.1916E-4
SC1_1425005	0.00399	-4.2942E-3	0.00259	-2.8983E-3	-9.1469E-5
SC1_1425035	0.00282	-4.1187E-3	0.00184	0.00111	0.00152
SC1_1425696	0.00503	-5.0553E-4	0.00131	-6.2531E-3	-1.7856E-3
SC1_1425698	0.00335	-3.7979E-3	0.00136	-3.2106E-3	-6.9645E-4
SC1_1425699	0.00563	-4.0165E-3	0.00267	-7.6332E-3	-3.3455E-3
SC1_1443866	0.00964	-2.8046E-3	0.00318	-3.9962E-3	-4.5729E-3
SC1_1443878	0.00832	-2.8693E-3	0.00243	-7.2202E-3	-3.8732E-3
SC1_1443929	0.00685	-3.9015E-3	4.4914E-4	0.00153	4.4902E-4
SC1_1450502	0.00914	-1.8121E-3	-1.3728E-3	-1.1472E-3	-1.125E-3
SC1_1450817	-5.1603E-4	2.1807E-4	0.00495	0.00139	0.00116
SC1_1450830	0.00523	0.00128	-1.1952E-3	-6.3433E-3	0.00128
SC1_1451144	0.00897	-3.4697E-3	0.0043	-5.8412E-3	-4.6374E-3
SC1_1451435	0.00436	-3.4897E-4	-6.9187E-5	-1.139E-2	0.0022
SC1_1451442	-5.1996E-3	0.00253	0.00889	0.00138	-8.3125E-4
SC1_1452775	0.00628	-1.3424E-3	-1.524E-3	-3.8209E-3	0.00332
SC1_1452790	0.00628	-1.3424E-3	-1.524E-3	-3.8209E-3	0.00332
SC1_1452805	0.00634	-1.6579E-3	-1.5568E-3	-4.0795E-3	0.00338
SC1_1456826	0.00715	-8.1275E-6	0.00465	-8.2568E-3	-2.7664E-3
SC1_1456871	0.00318	-2.934E-3	0.00231	-8.1494E-4	-6.3329E-4
SC1_1464862	0.00358	-1.5555E-3	0.00138	0.00138	-3.5513E-3
SC1_1465982	0.00777	-9.1368E-4	5.3008E-4	-1.617E-3	0.00358
SC1_1466057	0.00728	-1.1309E-3	2.9187E-4	-1.3536E-3	0.00266
SC1_1563027	0.00364	-7.3202E-3	0.00479	0.00158	-8.5794E-4
SC1_1563112	0.00565	5.8551E-4	0.00377	-2.4689E-3	-5.1444E-3
SC1_1595545	-1.1184E-4	0.00238	-3.2655E-3	-3.1294E-3	-2.5591E-3
SC1_1649764	0.00902	0.00178	0.00223	0.00112	-1.0777E-3
SC1_1687775	0.00715	1.5335E-4	-2.2904E-3	0.01092	0.00435
SC1_1688011	-8.1103E-3	-7.3145E-4	0.00386	1.4077E-5	-5.6163E-4
SC1_1722815	0.00176	-3.4902E-3	-1.4899E-3	0.00254	-4.9266E-4
SC1_1738393	0.00497	0.00404	-1.6597E-3	-9.2818E-3	1.7317E-5
SC1_1738397	0.00497	0.00404	-1.6597E-3	-9.2818E-3	1.7317E-5
SC1_1783522	0.00694	0.00621	-2.9837E-3	-1.5706E-3	0.00338
SC1_1795628	0.00533	0.00455	4.0193E-4	0.0029	0.0013
SC1_1795640	0.00533	0.00455	4.0193E-4	0.0029	0.0013
SC1_1795691	0.00415	0.00341	1.1823E-4	0.00106	-8.3202E-5
SC1_1795708	0.00415	0.00341	1.1823E-4	0.00106	-8.3202E-5
SC1_1814237	-1.1868E-3	-9.5464E-4	0.00185	0.00204	-1.8569E-3
SC1_1816332	-3.79E-5	1.8012E-4	-7.02E-3	-1.463E-3	0.00307
SC1_1821749	-3.9432E-3	-2.3823E-3	-1.2494E-2	-4.8595E-4	0.00143
SC1_1821897	0.00257	0.00264	0.00975	0.00738	1.9778E-4
SC1_1848375	0.0025	-4.888E-3	-8.7627E-4	-6.1567E-3	0.00126
SC1_1878509	0.00236	-2.6209E-3	9.1515E-4	-8.4571E-3	-3.571E-3
SC1_1899244	0.00276	0.00294	-1.36E-3	3.808E-4	6.3622E-4
SC1_1901180	4.873E-4	6.6677E-4	-1.3511E-3	-8.1584E-3	-2.5961E-3
SC1_1901201	4.873E-4	6.6677E-4	-1.3511E-3	-8.1584E-3	-2.5961E-3
SC1_1910113	0.0039	-7.6066E-5	0.00254	-2.9206E-3	-5.5081E-3
SC1_1913057	-9.7337E-4	-2.632E-3	-4.0227E-3	-1.7525E-4	5.6566E-4
SC1_1917508	-3.6966E-3	0.00566	-1.3035E-3	-7.7721E-3	4.3812E-4
SC1_1917511	-3.6966E-3	0.00566	-1.3035E-3	-7.7721E-3	4.3812E-4
SC1_1917514	-3.6966E-3	0.00566	-1.3035E-3	-7.7721E-3	4.3812E-4
SC1_1917517	-1.9939E-3	0.00727	-3.703E-4	-6.3799E-3	4.2395E-4
SC1_1926581	-7.6084E-3	0.00804	0.00887	0.00254	0.00395
SC1_1948342	9.4063E-4	0.00276	-3.0386E-3	-5.0522E-4	-5.1613E-3
SC1_1948349	7.5729E-4	0.00319	-3.0991E-3	-8.8746E-4	-5.2829E-3
SC1_1948620	0.00483	-4.4673E-3	-3.9244E-3	-8.9732E-4	0.00102
SC1_1951245	-5.174E-3	0.0075	0.0108	-2.4556E-3	0.00625
SC1_1951611	-2.6244E-3	0.00103	0.00741	0.00733	0.0039
SC1_1953035	0.00634	-1.864E-3	-4.0031E-3	0.00892	2.2847E-4
SC1_1953127	-4.8918E-3	0.00195	0.00816	0.00284	5.3753E-4
SC1_1962140	-5.4432E-3	0.00129	0.00724	0.00186	0.00383
SC1_1962192	6.9609E-4	0.00501	-1.2721E-3	-1.1514E-2	-7.9625E-3
SC1_1971863	-8.7133E-4	0.00118	-2.5213E-3	8.6027E-4	-4.1583E-3
SC1_1971891	-8.7133E-4	0.00118	-2.5213E-3	8.6027E-4	-4.1583E-3
SC1_1972098	0.00736	-1.1467E-2	-4.5035E-3	0.00601	0.00194
SC1_1977603	0.00342	0.00105	-1.1E-5	-1.2304E-2	0.00282
SC1_2010308	-1.959E-3	-1.6359E-3	-3.9113E-3	-1.4405E-4	4.7916E-4
SC1_2010354	-1.959E-3	-1.6359E-3	-3.9113E-3	-1.4405E-4	4.7916E-4
SC1_2010439	0.00762	0.00155	0.00201	0.00755	-2.5882E-3
SC1_2010693	0.00153	0.0018	-7.9089E-4	-1.1288E-3	0.00165
SC1_2010717	0.00179	0.0023	-8.3923E-4	-2.1988E-5	8.7377E-4
SC1_2014584	0.00494	0.00447	-8.3743E-3	0.00304	0.0035
SC1_2014585	-2.2431E-3	-3.0792E-3	0.00232	8.6683E-4	-2.5856E-3
SC1_2014609	-5.1546E-3	-1.2198E-3	0.00678	-3.4418E-3	-2.9801E-4
SC1_2031839	0.00178	-1.204E-3	-2.1176E-3	0.0019	-2.1429E-3
SC1_2031851	0.00178	-1.204E-3	-2.1176E-3	0.0019	-2.1429E-3
SC1_2066739	0.00463	0.00171	0.00183	-4.7101E-3	-3.3481E-4
SC1_2068177	0.00347	-3.3396E-4	-1.1707E-3	0.00159	-1.608E-3
SC1_2071222	0.00339	-2.2528E-3	1.8886E-4	0.00775	-6.2654E-3
SC1_2093777	-7.5701E-5	0.00101	-2.9998E-3	-4.5792E-5	0.00586
SC1_2093806	-7.5701E-5	0.00101	-2.9998E-3	-4.5792E-5	0.00586
SC1_2093823	-7.5701E-5	0.00101	-2.9998E-3	-4.5792E-5	0.00586
SC1_2093928	0.00282	0.00367	-1.2457E-3	-1.1144E-2	0.00539
SC1_2095780	0.00417	7.1462E-4	-1.2125E-4	-1.1304E-2	-1.9562E-3
SC1_2095789	0.00417	7.1462E-4	-1.2125E-4	-1.1304E-2	-1.9562E-3
SC1_2095897	0.00371	0.00352	-2.7566E-3	-9.8858E-3	0.00299
SC1_2095950	-1.3773E-4	-1.2317E-3	-5.6278E-3	-2.3946E-3	0.00743
SC1_2095969	-1.2595E-4	-1.1435E-3	-5.7652E-3	-2.5343E-3	0.0076
SC1_2096011	-1.0007E-4	-1.2597E-3	-5.5646E-3	-2.2523E-3	0.00789
SC1_2165570	0.00322	0.00499	-4.5091E-3	-1.1674E-2	-2.2547E-3
SC1_2165588	0.00377	0.00498	-4.0605E-3	-1.2995E-2	-2.8974E-3
SC1_2165597	0.00321	0.00491	-4.3717E-3	-1.1534E-2	-2.427E-3
SC1_2170876	3.1177E-5	-1.3563E-3	-2.7822E-3	-2.4185E-3	0.00439
SC1_2170879	3.1177E-5	-1.3563E-3	-2.7822E-3	-2.4185E-3	0.00439
SC1_2173538	5.0516E-4	0.00261	-5.017E-3	0.00385	-1.134E-3
SC1_2173551	-1.0683E-3	0.00626	-3.7656E-3	0.00834	0.00253
SC1_2173557	-1.0683E-3	0.00626	-3.7656E-3	0.00834	0.00253
SC1_2175193	-4.5073E-3	0.00152	0.00627	0.00367	-4.0871E-3
SC1_2177046	0.00446	-5.5556E-3	8.9314E-4	2.7394E-4	-3.983E-4
SC1_2177060	0.00507	-1.0012E-2	-3.0339E-3	-1.0177E-2	-4.2184E-4
SC1_2177639	0.00509	-9.0513E-3	-4.6433E-3	-8.7145E-3	-1.2029E-3
SC1_2177645	0.00297	-7.8613E-3	-2.9449E-3	-5.9418E-3	-2.5217E-3
SC1_2177651	0.00509	-9.0513E-3	-4.6433E-3	-8.7145E-3	-1.2029E-3
SC1_2177787	0.003	-8.7376E-3	-4.1239E-3	-9.4083E-3	-2.9081E-4
SC1_2177800	0.003	-8.7376E-3	-4.1239E-3	-9.4083E-3	-2.9081E-4
SC1_2177842	0.00495	-1.0735E-2	-2.5941E-3	-1.1019E-2	-1.6417E-3
SC1_2177843	0.00495	-1.0735E-2	-2.5941E-3	-1.1019E-2	-1.6417E-3
SC1_2177859	0.00313	-8.205E-3	-2.5037E-3	-9.3928E-3	-4.8867E-3
SC1_2177871	0.00568	7.6965E-4	-2.5157E-3	0.00123	0.00455
SC1_2178110	-3.8041E-3	0.01003	0.00527	0.01105	0.00406
SC1_2195781	-6.1958E-3	0.00429	0.00806	0.00357	-1.8778E-3
SC1_2216562	0.009	-2.5389E-4	-1.085E-5	0.00148	-5.5673E-4
SC1_2216612	0.00575	6.5991E-4	-3.1444E-4	-1.8942E-3	4.6618E-4
SC1_2352049	2.6516E-4	0.00461	-4.9343E-3	0.00874	-5.8621E-3
SC1_2352050	2.6516E-4	0.00461	-4.9343E-3	0.00874	-5.8621E-3
SC1_2352053	2.6516E-4	0.00461	-4.9343E-3	0.00874	-5.8621E-3
SC1_2370187	-2.6218E-3	0.00458	0.01086	-1.8048E-3	0.00668
SC1_2370214	-4.1759E-3	0.00458	0.01104	1.3468E-4	0.00433
SC1_2370215	-4.1759E-3	0.00458	0.01104	1.3468E-4	0.00433
SC1_2370305	0.00278	-6.2702E-3	-7.0463E-3	-7.2619E-3	-3.4127E-3
SC1_2370308	0.00278	-6.2702E-3	-7.0463E-3	-7.2619E-3	-3.4127E-3
SC1_2370310	0.00278	-6.2702E-3	-7.0463E-3	-7.2619E-3	-3.4127E-3
SC1_2370323	0.00309	0.00209	-2.8504E-3	0.00808	-2.7962E-3
SC1_2402945	0.00294	-6.4892E-4	-2.983E-3	-1.3145E-3	0.0046
SC1_2406191	0.00592	7.2531E-4	-3.5777E-3	-3.6584E-3	0.00564
SC1_2408342	0.00318	-3.7051E-3	3.1966E-4	0.00247	-1.2925E-3
SC1_2412138	-2.1209E-4	-2.8652E-3	-3.2779E-3	8.068E-4	-6.2493E-3
SC1_2412178	-2.1209E-4	-2.8652E-3	-3.2779E-3	8.068E-4	-6.2493E-3
SC1_2412227	2.321E-4	-3.7226E-3	-1.7449E-3	0.0017	-8.7377E-3
SC1_2414552	0.00199	-1.4111E-3	-4.4333E-3	1.0948E-4	-3.6873E-3
SC1_2414571	-5.6645E-4	-2.0258E-3	-2.6966E-3	0.00131	-6.2754E-3
SC1_2414766	0.00136	-2.2938E-3	-1.1266E-3	-2.4773E-3	-7.4546E-3
SC1_2460840	0.00324	-1.5338E-4	-3.9117E-3	2.3908E-4	0.00195
SC1_2481077	0.00141	0.00722	-3.9247E-3	-6.0687E-3	0.00194
SC1_2486105	-1.6306E-3	0.00434	-4.6257E-3	-3.1989E-3	0.00531
SC1_2486279	0.00397	0.00176	-4.8894E-4	-4.2977E-3	-1.8279E-3
SC1_2488942	0.00568	0.00106	0.00253	-7.8664E-3	-4.834E-4
SC1_2488995	-3.6108E-3	0.00403	-4.9035E-3	0.00157	0.00451
SC1_2489028	0.00432	-5.7442E-4	0.00154	-7.6883E-5	9.4699E-4
SC1_2489108	-3.8148E-3	0.0041	-4.8389E-3	0.00157	0.00542
SC1_2489118	-3.8148E-3	0.0041	-4.8389E-3	0.00157	0.00542
SC1_2491135	-2.1062E-3	0.00456	-5.9599E-3	-3.3483E-3	0.00424
SC1_2491206	-3.9395E-3	0.00429	-6.1284E-3	0.00141	0.00421
SC1_2495270	-4.3915E-3	0.00363	-4.8135E-3	1.0667E-4	0.00458
SC1_2495303	-3.5433E-3	0.00444	-4.1131E-3	-1.712E-3	0.0049
SC1_2495306	-3.5433E-3	0.00444	-4.1131E-3	-1.712E-3	0.0049
SC1_2495462	-3.0696E-3	0.00293	-6.8523E-3	6.199E-5	0.00499
SC1_2495465	-2.8481E-3	0.00303	-6.8561E-3	-7.8134E-4	0.00492
SC1_2507367	0.00648	0.00123	0.00208	-1.061E-2	8.3063E-4
SC1_2509046	0.00594	-2.1072E-3	8.6218E-4	0.00204	-1.5249E-3
SC1_2509047	0.00594	-2.1072E-3	8.6218E-4	0.00204	-1.5249E-3
SC1_2509168	0.00898	-6.7611E-3	0.00206	-4.698E-3	-4.1499E-3
SC1_2509171	0.00898	-6.7611E-3	0.00206	-4.698E-3	-4.1499E-3
SC1_2509402	0.00312	-1.9187E-3	-7.294E-3	-2.7089E-3	0.00797
SC1_2515077	0.00109	-6.6203E-4	-2.2383E-3	1.75E-4	-1.3358E-3
SC1_2515090	0.00695	-8.0742E-4	-9.0746E-4	-4.9428E-3	-1.045E-2
SC1_2515101	0.00503	-6.6576E-4	0.00133	-6.7106E-3	-9.0682E-3
SC1_2527484	0.0029	-4.3135E-3	0.0016	-6.7256E-3	-8.4146E-3
SC1_2527486	0.0029	-4.3135E-3	0.0016	-6.7256E-3	-8.4146E-3
SC1_2527521	0.00104	-6.4555E-3	-4.8207E-4	0.00277	-7.1688E-3
SC1_2546530	0.00167	0.00123	-4.314E-4	-7.6966E-3	-6.8187E-3
SC1_2556221	0.00268	-5.7734E-3	0.00211	-9.73E-3	-2.9412E-3
SC1_2567186	0.00264	-4.3603E-3	-3.7322E-3	-6.814E-3	-2.2637E-3
SC1_2586000	0.00688	-4.2068E-3	8.6572E-4	-1.0005E-2	-5.2163E-3
SC1_2586006	0.00623	-3.381E-3	0.00153	-1.0699E-2	-6.1863E-3
SC1_2586054	0.00555	-1.506E-3	0.00162	-3.9662E-3	-4.75E-3
